ncalls, tottime, percall, cumtime, percall, filename:lineno(function)
45024, 1.270, 0.000, 1191.551, 0.026, base_conv.py:272(call)
45024, 0.792, 0.000, 1187.808, 0.026, base_conv.py:247(convolution_op)
45024, 0.608, 0.000, 1185.763, 0.026, nn_ops.py:1171(convolution_v2)
45024, 3.309, 0.000, 1185.155, 0.026, nn_ops.py:1197(convolution_internal)
45024, 0.906, 0.000, 1179.584, 0.026, nn_ops.py:2773(_conv2d_expanded_batch)
45024, 2.073, 0.000, 1178.534, 0.026, gen_nn_ops.py:1098(conv2d)
4689, 0.087, 0.000, 795.625, 0.170, optimizer.py:1107(apply_gradients)
4689, 0.507, 0.000, 773.091, 0.165, optimizer.py:595(apply_gradients)
4689, 0.038, 0.000, 770.875, 0.164, optimizer.py:1165(_internal_apply_gradients)
4689, 0.054, 0.000, 770.837, 0.164, merge_call_interim.py:29(maybe_merge_call)
4689, 1.039, 0.000, 770.688, 0.164, optimizer.py:1204(_distributed_apply_gradients_fn)
117225, 2.329, 0.000, 767.713, 0.007, distribute_lib.py:2564(update)
117225, 0.414, 0.000, 745.013, 0.006, distribute_lib.py:3707(_update)
117225, 1.383, 0.000, 744.599, 0.006, distribute_lib.py:3712(_update_non_slot)
121914, 0.944, 0.000, 740.103, 0.006, api.py:593(wrapper)
117225, 0.445, 0.000, 734.360, 0.006, optimizer.py:1209(apply_grad_to_update_var)
117225, 0.872, 0.000, 733.915, 0.006, optimizer.py:210(_update_step)
117225, 79.486, 0.001, 730.292, 0.006, sgd.py:153(update_step)
37512, 0.436, 0.000, 371.936, 0.010, nn_grad.py:923(_FusedBatchNormV3Grad)
37512, 2.581, 0.000, 371.500, 0.010, nn_grad.py:831(_BaseFusedBatchNormGrad)
734322, 9.105, 0.000, 361.839, 0.000, math_ops.py:1399(binary_op_wrapper)
37512, 1.982, 0.000, 360.383, 0.010, gen_nn_ops.py:4598(fused_batch_norm_grad_v3)
45024, 3.171, 0.000, 329.944, 0.007, batch_normalization.py:821(call)
45024, 4.545, 0.000, 323.527, 0.007, batch_normalization.py:574(_fused_batch_norm)
45024, 0.402, 0.000, 270.389, 0.006, control_flow_util.py:87(smart_cond)
45042, 0.455, 0.000, 269.829, 0.006, smart_cond.py:23(smart_cond)
45024, 2.022, 0.000, 266.911, 0.006, nn_impl.py:1597(fused_batch_norm)
37512, 0.626, 0.000, 247.982, 0.007, batch_normalization.py:632(_fused_batch_norm_training)
45024, 2.007, 0.000, 241.142, 0.005, gen_nn_ops.py:4873(fused_batch_norm_v3)
483915, 1.835, 0.000, 200.176, 0.000, math_ops.py:1760(_mul_dispatch)
483916, 1.685, 0.000, 187.638, 0.000, math_ops.py:480(multiply)
488605, 7.174, 0.000, 186.134, 0.000, gen_math_ops.py:7305(mul)
234450, 1.379, 0.000, 143.150, 0.001, variables.py:1088(_run_op)
245707, 1.894, 0.000, 131.220, 0.001, math_ops.py:1729(_add_dispatch)
245716, 3.749, 0.000, 127.710, 0.001, gen_math_ops.py:471(add_v2)
37512, 0.326, 0.000, 110.634, 0.003, nn_grad.py:411(_ReluGrad)
37512, 1.053, 0.000, 110.307, 0.003, gen_nn_ops.py:11521(relu_grad)
192249, 7.183, 0.000, 105.957, 0.001, resource_variable_ops.py:908(assign)
18756, 0.454, 0.000, 103.059, 0.005, nn_grad.py:676(_MaxPoolGrad)
234450, 3.549, 0.000, 102.168, 0.000, gen_math_ops.py:7479(neg)
6, 0.010, 0.002, 97.690, 16.282, summary_ops_v2.py:1337(trace_export)
31/25, 0.001, 0.000, 97.660, 3.906, deprecation.py:344(new_func)
12, 97.315, 8.110, 97.316, 8.110, profiler.py:88(stop)
18756, 0.729, 0.000, 91.708, 0.005, gen_nn_ops.py:6494(max_pool_grad)
45024, 1.009, 0.000, 81.468, 0.002, gen_nn_ops.py:11317(relu)
126603, 2.764, 0.000, 78.398, 0.001, resource_variable_ops.py:873(assign_add)
916611, 8.190, 0.000, 68.981, 0.000, trace.py:178(wrapped)
758837/758836, 15.242, 0.000, 64.344, 0.000, nest.py:809(map_structure)
318852, 3.133, 0.000, 59.987, 0.000, resource_variable_ops.py:898(_lazy_read)
916611, 16.500, 0.000, 51.294, 0.000, ops.py:1568(convert_to_tensor)
75024, 1.058, 0.000, 45.766, 0.001, base_layer.py:1698(add_update)
318984/318918, 2.143, 0.000, 45.699, 0.000, variables.py:266(__call__)
445455, 4.156, 0.000, 44.177, 0.000, backprop.py:111(get_attr)
318852, 5.260, 0.000, 43.400, 0.000, resource_variable_ops.py:2242(__init__)
324498, 2.680, 0.000, 43.318, 0.000, resource_variable_ops.py:579(value)
75024, 1.082, 0.000, 42.084, 0.001, batch_normalization.py:566(_assign_new_value)
445455, 5.797, 0.000, 38.836, 0.000, backprop.py:81(make_attr)
318918, 11.998, 0.000, 36.148, 0.000, resource_variable_ops.py:335(__init__)
126603, 1.713, 0.000, 35.734, 0.000, gen_resource_variable_ops.py:23(assign_add_variable_op)
324498, 3.258, 0.000, 35.195, 0.000, resource_variable_ops.py:679(_read_variable_op)
22512, 0.421, 0.000, 34.311, 0.002, base_pooling2d.py:77(call)
22512, 1.199, 0.000, 33.238, 0.001, nn_ops.py:4846(max_pool)
782313, 2.500, 0.000, 30.966, 0.000, nest.py:692(pack_sequence_as)
22512, 0.592, 0.000, 30.727, 0.001, gen_nn_ops.py:6021(max_pool)
782313, 8.539, 0.000, 28.466, 0.000, nest.py:652(_pack_sequence_as)
4039604, 12.625, 0.000, 25.664, 0.000, context.py:2149(executing_eagerly)
2847566/1875248, 3.550, 0.000, 25.614, 0.000, {built-in, method builtins.next}
37512, 0.259, 0.000, 25.098, 0.001, batch_normalization.py:676(mean_update)
192315, 2.874, 0.000, 23.984, 0.000, gen_resource_variable_ops.py:123(assign_variable_op)
289803, 4.206, 0.000, 23.962, 0.000, math_ops.py:937(cast)
324498, 3.261, 0.000, 23.922, 0.000, resource_variable_ops.py:693(read_and_set_handle)
4689, 0.039, 0.000, 22.446, 0.005, optimizer.py:1093(aggregate_gradients)
4689, 0.534, 0.000, 22.408, 0.005, utils.py:23(all_reduce_sum_gradients)
4689, 0.467, 0.000, 21.245, 0.005, distribute_lib.py:3178(all_reduce)
7512, 0.087, 0.000, 21.181, 0.003, batch_normalization.py:647(_fused_batch_norm_inference)
1423772/937622, 2.990, 0.000, 20.404, 0.000, contextlib.py:114(__enter__)
4692, 0.031, 0.000, 19.703, 0.004, notebook.py:256(__iter__)
4692, 0.095, 0.000, 19.672, 0.004, std.py:1174(__iter__)
159426/4689, 0.296, 0.000, 19.276, 0.004, base_layer.py:2255(trainable_variables)
56268/4689, 0.651, 0.000, 19.259, 0.004, training.py:2694(trainable_weights)
4689, 0.012, 0.000, 18.909, 0.004, custom_gradient.py:341(__call__)
4689, 0.062, 0.000, 18.897, 0.004, custom_gradient.py:292(decorated)
4689, 0.419, 0.000, 18.800, 0.004, custom_gradient.py:539(_eager_mode_decorator)
758837/758836, 2.546, 0.000, 18.771, 0.000, nest.py:917(<listcomp>)
90048, 0.281, 0.000, 18.043, 0.000, resource_variable_ops.py:2226(_dense_var_to_tensor)
324498, 4.468, 0.000, 17.849, 0.000, gen_resource_variable_ops.py:552(read_variable_op)
90048, 0.422, 0.000, 17.762, 0.000, resource_variable_ops.py:1460(_dense_var_to_tensor)
37512, 0.269, 0.000, 17.514, 0.000, batch_normalization.py:693(variance_update)
191383, 8.667, 0.000, 17.384, 0.000, input_spec.py:169(assert_input_compatibility)
698047/698032, 1.315, 0.000, 16.430, 0.000, {built-in, method builtins.any}
203554, 2.904, 0.000, 15.750, 0.000, tensor_shape.py:1243(is_compatible_with)
9378, 0.145, 0.000, 15.386, 0.002, backprop.py:632(_aggregate_grads)
9378, 0.232, 0.000, 15.153, 0.002, gen_math_ops.py:395(add_n)
737664, 4.021, 0.000, 14.626, 0.000, ops.py:5925(init_scope)
1237306, 6.083, 0.000, 14.559, 0.000, ops.py:6721(name_scope)
620862, 2.006, 0.000, 14.467, 0.000, base_layer.py:3227(_flatten_layers)
724020, 10.640, 0.000, 14.300, 0.000, base_layer.py:3234(_flatten_modules)
191352, 0.695, 0.000, 14.287, 0.000, base_layer.py:3649(_convert_numpy_or_python_types)
197015/197003, 5.942, 0.000, 13.637, 0.000, nest.py:612(_packed_nest_with_indices)
643350, 2.750, 0.000, 13.034, 0.000, resource_variable_ops.py:323(variable_accessed)
699031, 3.003, 0.000, 12.832, 0.000, ops.py:1252(shape)
4689, 0.034, 0.000, 12.701, 0.003, notebook.py:269(update)
4689, 0.142, 0.000, 12.667, 0.003, std.py:1212(update)
5345622, 12.573, 0.000, 12.573, 0.000, context.py:950(executing_eagerly)
4689, 0.074, 0.000, 12.450, 0.003, std.py:1339(refresh)
4695, 0.266, 0.000, 12.304, 0.003, notebook.py:149(display)
4689, 0.208, 0.000, 11.926, 0.003, math_grad.py:234(_MaxGrad)
1423772/937622, 7.319, 0.000, 11.924, 0.000, contextlib.py:123(__exit__)
4689, 0.402, 0.000, 11.718, 0.002, math_grad.py:213(_MinOrMaxGrad)
21612094, 5.500, 0.000, 11.286, 0.000, {built-in, method builtins.isinstance}
56268, 0.139, 0.000, 11.184, 0.000, training.py:3518(_assert_weights_created)
56268, 0.097, 0.000, 11.045, 0.000, base_layer.py:1192(dynamic)
2187595, 8.887, 0.000, 11.004, 0.000, dtypes.py:215(__eq__)
440766, 0.780, 0.000, 10.691, 0.000, base_layer.py:1195(<genexpr>)
14496, 0.052, 0.000, 10.584, 0.001, traitlets.py:720(__set__)
473994, 3.191, 0.000, 10.577, 0.000, tensor_shape.py:764(__init__)
14538, 0.142, 0.000, 10.533, 0.001, traitlets.py:702(set)
187560, 3.376, 0.000, 10.510, 0.000, backprop.py:674(_zeros)
1423772, 3.284, 0.000, 10.282, 0.000, contextlib.py:261(helper)
9958, 0.080, 0.000, 9.998, 0.001, traitlets.py:1500(_notify_trait)
2533064, 5.132, 0.000, 9.954, 0.000, tensor_shape.py:722(as_dimension)
9730, 0.165, 0.000, 9.914, 0.001, widget.py:596(notify_change)
191352, 2.168, 0.000, 9.810, 0.000, base_layer.py:2557(_set_training_mode)
191352, 0.629, 0.000, 9.717, 0.000, ops.py:1426(convert_to_tensor_v2_with_dispatch)
819889, 1.882, 0.000, 9.627, 0.000, tensor_shape.py:843(dims)
191352, 1.070, 0.000, 9.089, 0.000, ops.py:1494(convert_to_tensor_v2)
9688, 0.146, 0.000, 8.996, 0.001, widget.py:473(send_state)
5339869/5339840, 2.276, 0.000, 8.860, 0.000, {built-in, method builtins.hasattr}
153154, 0.722, 0.000, 8.672, 0.000, constant_op.py:170(constant)
1805987, 4.208, 0.000, 8.538, 0.000, nest.py:356(flatten)
9688, 0.070, 0.000, 8.221, 0.001, widget.py:734(_send)
153154, 2.309, 0.000, 7.950, 0.000, constant_op.py:271(_constant_impl)
9688, 0.071, 0.000, 7.917, 0.001, base_comm.py:111(send)
9754, 0.320, 0.000, 7.890, 0.001, comm.py:21(publish_msg)
819889, 2.233, 0.000, 7.745, 0.000, tensor_shape.py:855(<listcomp>)
191352, 1.146, 0.000, 7.550, 0.000, traceback_utils.py:77(inject_argument_info_in_traceback)
121915, 1.996, 0.000, 7.532, 0.000, api.py:492(tf_convert)
191352, 1.486, 0.000, 7.525, 0.000, contextlib.py:438(enter_context)
5634, 0.026, 0.000, 7.213, 0.001, iterator_ops.py:785(__next__)
5634, 0.218, 0.000, 7.187, 0.001, iterator_ops.py:750(_next_internal)
1183260, 2.507, 0.000, 7.172, 0.000, tensor_shape.py:774(<genexpr>)
627467, 3.044, 0.000, 7.117, 0.000, distribution_strategy_context.py:76(_get_per_thread_mode)
1423772, 6.687, 0.000, 6.999, 0.000, contextlib.py:86(__init__)
126680, 0.431, 0.000, 6.925, 0.000, tensor_conversion_registry.py:46(_default_conversion_function)
9757, 0.592, 0.000, 6.899, 0.001, session.py:751(send)
1350543, 3.428, 0.000, 6.851, 0.000, nest.py:256(_yield_value)
2845867, 4.664, 0.000, 6.804, 0.000, traceback_utils.py:32(is_traceback_filtering_enabled)
1759584, 5.261, 0.000, 6.803, 0.000, dtypes.py:719(as_dtype)
1806784, 3.236, 0.000, 6.766, 0.000, ops.py:6314(get_default_graph)
207273, 2.494, 0.000, 6.713, 0.000, tape.py:104(variable_accessed)
271151, 4.756, 0.000, 6.677, 0.000, ops.py:6974(__enter__)
196067, 3.955, 0.000, 6.595, 0.000, tf_decorator.py:61(make_decorator)
1069650, 6.483, 0.000, 6.483, 0.000, trace.py:50(__init__)
191352, 3.964, 0.000, 6.363, 0.000, contextlib.py:489(__exit__)
121914, 1.880, 0.000, 6.272, 0.000, backprop_util.py:49(IsTrainable)
117225, 0.555, 0.000, 6.163, 0.000, distribute_lib.py:3617(__enter__)
103158, 0.899, 0.000, 6.101, 0.000, base_layer.py:1284(trainable_weights)
3649358, 3.972, 0.000, 5.787, 0.000, abc.py:117(__instancecheck__)
1517676, 2.466, 0.000, 5.569, 0.000, nest.py:913(<genexpr>)
191352, 2.480, 0.000, 5.520, 0.000, base_layer.py:2688(_maybe_cast_inputs)
45024, 1.041, 0.000, 5.370, 0.000, backend.py:322(learning_phase)
37512, 0.255, 0.000, 5.303, 0.000, array_ops.py:700(shape_n)
9378, 0.068, 0.000, 5.263, 0.001, composite_tensor_gradient.py:173(replace_flat_tensors_for_gradients)
5628, 0.562, 0.000, 5.121, 0.001, base_layer.py:2355(_clear_losses)
37512, 0.633, 0.000, 5.049, 0.000, gen_array_ops.py:11712(shape_n)
202650, 3.424, 0.000, 4.899, 0.000, nest.py:185(_sequence_like)
401407, 1.378, 0.000, 4.887, 0.000, ops.py:6030(executing_eagerly_outside_functions)
324538, 0.844, 0.000, 4.852, 0.000, ops.py:5601(colocate_with)
234475, 1.823, 0.000, 4.726, 0.000, optimizer.py:1076(_var_key)
234450, 0.678, 0.000, 4.634, 0.000, variable_scope.py:2865(variable_creator_scope)
2195354, 4.400, 0.000, 4.545, 0.000, tensor_shape.py:198(__init__)
7570758/7569422, 3.845, 0.000, 4.455, 0.000, {built-in, method builtins.getattr}
1688744, 3.958, 0.000, 4.330, 0.000, {built-in, method tensorflow.python.util._pywrap_utils.Flatten}
121914, 0.913, 0.000, 4.134, 0.000, api.py:590(call_with_unspecified_conversion_status)
734323, 4.113, 0.000, 4.113, 0.000, math_ops.py:1344(maybe_promote_tensors)
5365694, 4.110, 0.000, 4.110, 0.000, context.py:2119(context_safe)
4689, 0.024, 0.000, 4.088, 0.001, distribute_lib.py:3268(grad_wrapper)
4689, 0.079, 0.000, 4.064, 0.001, distribute_lib.py:3077(merge_call)
153140, 0.740, 0.000, 4.042, 0.000, constant_op.py:302(_constant_eager_impl)
324538, 1.611, 0.000, 4.008, 0.000, ops.py:5578(_colocate_with_for_gradient)
319081, 1.990, 0.000, 3.954, 0.000, dtypes.py:172(is_compatible_with)
4689, 0.282, 0.000, 3.896, 0.001, custom_gradient.py:565(<listcomp>)
5634, 0.114, 0.000, 3.673, 0.001, gen_dataset_ops.py:3022(iterator_get_next)
117250, 1.472, 0.000, 3.628, 0.000, gen_array_ops.py:4821(identity)
281454, 1.374, 0.000, 3.594, 0.000, registry.py:81(lookup)
4689, 0.177, 0.000, 3.572, 0.001, custom_gradient.py:567(<listcomp>)
4689, 0.052, 0.000, 3.532, 0.001, distribute_lib.py:3112(_merge_call)
1806784, 3.530, 0.000, 3.530, 0.000, ops.py:5843(get_default)
5628, 0.033, 0.000, 3.528, 0.001, global_max_pooling2d.py:71(call)
1350565, 3.408, 0.000, 3.424, 0.000, nest.py:261(_yield_sorted_items)
171627, 0.501, 0.000, 3.402, 0.000, distribution_strategy_context.py:253(has_strategy)
5628, 0.021, 0.000, 3.382, 0.001, backend.py:2735(max)
153140, 2.294, 0.000, 3.301, 0.000, constant_op.py:74(convert_to_eager_tensor)
1069650, 3.285, 0.000, 3.285, 0.000, trace.py:121(__exit__)
878439, 1.790, 0.000, 3.278, 0.000, dtypes.py:76(base_dtype)
9757, 0.272, 0.000, 3.268, 0.000, session.py:687(serialize)
4689, 0.038, 0.000, 3.261, 0.001, distribute_lib.py:3253(batch_all_reduce)
5628, 0.038, 0.000, 3.248, 0.001, math_ops.py:3059(reduce_max)
5628, 0.063, 0.000, 3.199, 0.001, math_ops.py:3109(reduce_max_with_dims)
103158, 0.916, 0.000, 3.192, 0.000, base_layer.py:3210(_gather_children_attribute)
5628, 0.183, 0.000, 3.107, 0.001, gen_math_ops.py:6771(_max)
5628, 0.022, 0.000, 3.087, 0.001, nn_ops.py:4404(sparse_softmax_cross_entropy_with_logits_v2)
207273, 0.513, 0.000, 3.038, 0.000, distribution_strategy_context.py:269(get_strategy_and_replica_context)
191352, 0.859, 0.000, 3.010, 0.000, base_layer.py:3639(_in_functional_construction_mode)
637704, 0.958, 0.000, 2.987, 0.000, resource_variable_ops.py:240(_handle_graph)
4689, 0.029, 0.000, 2.962, 0.001, math_ops.py:445(divide)
5628, 0.465, 0.000, 2.938, 0.001, nn_ops.py:4278(sparse_softmax_cross_entropy_with_logits)
4689, 0.046, 0.000, 2.883, 0.001, distribute_lib.py:2393(batch_reduce_to)
737664, 2.115, 0.000, 2.863, 0.000, tape.py:150(stop_recording)
10317, 0.047, 0.000, 2.862, 0.000, math_ops.py:1889(equal)
10317, 0.166, 0.000, 2.815, 0.000, gen_math_ops.py:3636(equal)
15945, 0.085, 0.000, 2.799, 0.000, math_ops.py:2249(reduce_sum)
271151, 1.059, 0.000, 2.790, 0.000, ops.py:7008(__exit__)
117225, 0.743, 0.000, 2.771, 0.000, distribute_lib.py:3626(__exit__)
4689, 0.020, 0.000, 2.768, 0.001, distribute_lib.py:2465(_batch_reduce_to)
191352, 1.081, 0.000, 2.748, 0.000, base_layer.py:2719(_should_cast_single_input)
4689, 0.244, 0.000, 2.747, 0.001, distribute_lib.py:2466(<listcomp>)
5628, 0.215, 0.000, 2.697, 0.000, gen_math_ops.py:6832(_max_eager_fallback)
191352, 1.465, 0.000, 2.673, 0.000, base_layer.py:2868(_get_input_masks)
4689, 0.019, 0.000, 2.639, 0.001, math_ops.py:1559(truediv)
4689, 0.127, 0.000, 2.620, 0.001, math_ops.py:1510(_truediv_python3)
400692/397887, 1.063, 0.000, 2.595, 0.000, traitlets.py:689(__get__)
171652, 0.324, 0.000, 2.590, 0.000, distribution_strategy_context.py:233(get_strategy)
5629, 0.049, 0.000, 2.523, 0.000, structure.py:228(from_compatible_tensor_list)
117225, 0.783, 0.000, 2.503, 0.000, distribute_lib.py:2305(reduce_to)
121940, 2.176, 0.000, 2.493, 0.000, functools.py:35(update_wrapper)
5629, 0.176, 0.000, 2.474, 0.000, structure.py:193(_from_tensor_list_helper)
5628, 0.181, 0.000, 2.467, 0.000, dense.py:179(call)
337698, 1.366, 0.000, 2.343, 0.000, tensor_shape.py:270(is_compatible_with)
2426227, 2.330, 0.000, 2.330, 0.000, resource_variable_ops.py:574(handle)
15006, 0.262, 0.000, 2.291, 0.000, gen_math_ops.py:6680(mat_mul)
286341, 0.667, 0.000, 2.270, 0.000, compat.py:115(as_str)
2718130, 2.269, 0.000, 2.269, 0.000, {built-in, method tensorflow.python.util._pywrap_utils.IsNested}
590814, 1.159, 0.000, 2.263, 0.000, composite_tensor_gradient.py:105(_get_tensors_for_gradient)
103158, 0.363, 0.000, 2.245, 0.000, base_layer.py:3221(<genexpr>)
1255378, 1.966, 0.000, 2.233, 0.000, ops.py:1125(dtype)
324498, 0.882, 0.000, 2.192, 0.000, resource_variable_ops.py:312(_maybe_set_handle_data)
39028, 0.343, 0.000, 2.190, 0.000, session.py:97(json_packer)
4689, 0.118, 0.000, 2.062, 0.000, math_grad.py:1717(_MatMulGrad)
4689, 0.078, 0.000, 2.034, 0.000, gen_math_ops.py:8674(real_div)
50652, 1.159, 0.000, 2.029, 0.000, base_layer.py:2828(_set_mask_metadata)
9757, 0.049, 0.000, 2.019, 0.000, iostream.py:283(send_multipart)
23445, 0.072, 0.000, 2.005, 0.000, composite_tensor_gradient.py:159(get_flat_tensors_for_gradients)
329248, 0.664, 0.000, 1.975, 0.000, dtypes.py:228(__ne__)
9757, 0.032, 0.000, 1.970, 0.000, iostream.py:214(send_multipart)
9787, 0.097, 0.000, 1.939, 0.000, iostream.py:202(schedule)
318984, 1.926, 0.000, 1.927, 0.000, variables.py:155(validate_synchronization_aggregation_trainable)
117225, 0.221, 0.000, 1.899, 0.000, distribute_lib.py:866(scope)
5628, 0.327, 0.000, 1.890, 0.000, math_ops.py:3489(matmul)
196067, 1.613, 0.000, 1.862, 0.000, tf_decorator.py:229(__init__)
39028, 0.451, 0.000, 1.832, 0.000, __init__.py:183(dumps)
23445, 0.472, 0.000, 1.831, 0.000, composite_tensor_gradient.py:170(<listcomp>)
3649358, 1.812, 0.000, 1.815, 0.000, {built-in, method _abc._abc_instancecheck}
9787, 1.696, 0.000, 1.696, 0.000, socket.py:543(send)
4689, 0.211, 0.000, 1.691, 0.000, math_grad.py:141(_SumGrad)
191352, 1.244, 0.000, 1.679, 0.000, base_layer_utils.py:501(enter)
117225, 0.321, 0.000, 1.678, 0.000, distribute_lib.py:3646(_scope)
319981, 0.593, 0.000, 1.667, 0.000, {built-in, method builtins.all}
159426, 1.512, 0.000, 1.666, 0.000, base_layer.py:3319(_dedup_weights)
234450, 1.160, 0.000, 1.647, 0.000, ops.py:3223(_variable_creator_scope)
489548, 0.377, 0.000, 1.623, 0.000, {method, 'extendleft' of 'collections.deque' objects}
239139, 0.586, 0.000, 1.608, 0.000, backprop.py:731(_handle_or_self)
286341, 1.054, 0.000, 1.603, 0.000, compat.py:89(as_text)
1561772, 1.601, 0.000, 1.601, 0.000, ops.py:176(__exit__)
11258, 0.027, 0.000, 1.597, 0.000, structure.py:247(<lambda>)
121914, 0.607, 0.000, 1.592, 0.000, backprop_util.py:25(_DTypeFromTensor)
271151, 0.672, 0.000, 1.589, 0.000, ops.py:6998(_restore_name_scope)
121914, 0.198, 0.000, 1.585, 0.000, distribution_strategy_context.py:144(get_replica_context)
1561772, 1.575, 0.000, 1.575, 0.000, ops.py:170(__init__)
11258, 0.053, 0.000, 1.571, 0.000, tensor_spec.py:233(_from_compatible_tensor_list)
380455/378286, 1.448, 0.000, 1.539, 0.000, traitlets.py:651(get)
121914, 0.539, 0.000, 1.519, 0.000, distribute_lib.py:298(_require_cross_replica_or_default_context_extended)
11256, 0.043, 0.000, 1.517, 0.000, ops.py:1297(set_shape)
542302, 1.508, 0.000, 1.508, 0.000, context.py:967(scope_name)
878441, 1.488, 0.000, 1.488, 0.000, dtypes.py:63(_is_ref_dtype)
203568, 0.557, 0.000, 1.455, 0.000, tensor_shape.py:1335(is_fully_defined)
11274, 0.257, 0.000, 1.440, 0.000, execute.py:225(args_to_matching_eager)
18756, 0.125, 0.000, 1.432, 0.000, array_ops.py:63(reshape)
45024, 0.212, 0.000, 1.413, 0.000, batch_normalization.py:306(_support_zero_size_input)
191352, 0.818, 0.000, 1.399, 0.000, contextlib.py:465(_push_cm_exit)
15945, 0.127, 0.000, 1.399, 0.000, math_ops.py:2316(reduce_sum_with_dims)
4692, 0.048, 0.000, 1.377, 0.000, tf_inspect.py:247(getfullargspec)
117225, 0.573, 0.000, 1.358, 0.000, distribute_lib.py:3607(__init__)
851812, 1.264, 0.000, 1.350, 0.000, tensor_shape.py:836(rank)
9378, 0.357, 0.000, 1.331, 0.000, composite_tensor_gradient.py:185(<listcomp>)
21574, 0.111, 0.000, 1.326, 0.000, math_ops.py:2138(_ReductionDims)
4692, 0.285, 0.000, 1.301, 0.000, inspect.py:1129(getfullargspec)
103158, 0.258, 0.000, 1.289, 0.000, base_layer.py:3174(_update_trackables)
1561772, 1.259, 0.000, 1.259, 0.000, ops.py:173(__enter__)
380750, 0.730, 0.000, 1.246, 0.000, _collections_abc.py:996(__reversed__)
15945, 0.255, 0.000, 1.215, 0.000, gen_math_ops.py:12432(_sum)
636918, 1.044, 0.000, 1.214, 0.000, ops.py:5447(_distribution_strategy_stack)
9378, 0.307, 0.000, 1.211, 0.000, composite_tensor_gradient.py:183(<listcomp>)
1508642, 1.209, 0.000, 1.209, 0.000, tensor_shape.py:264(value)
359214, 1.076, 0.000, 1.178, 0.000, tensor_util.py:1030(is_tf_type)
4689, 0.043, 0.000, 1.171, 0.000, nn_grad.py:537(_SparseSoftmaxCrossEntropyWithLogitsGrad)
18756, 0.300, 0.000, 1.147, 0.000, gen_array_ops.py:10442(reshape)
4689, 0.027, 0.000, 1.128, 0.000, nn_grad.py:497(_BroadcastMul)
272085, 0.382, 0.000, 1.123, 0.000, tf_utils.py:370(is_extension_type)
445455, 1.122, 0.000, 1.122, 0.000, backprop.py:70(op_attr_type)
39028, 0.208, 0.000, 1.115, 0.000, encoder.py:182(encode)
281340, 1.086, 0.000, 1.086, 0.000, backprop.py:104(__init__)
45024, 0.607, 0.000, 1.034, 0.000, layer_utils.py:749(set_arg_value)
37611, 0.218, 0.000, 1.031, 0.000, base_layer.py:3182(_track_variables)
346182, 1.012, 0.000, 1.023, 0.000, ops.py:434(__getattr__)
726795, 0.846, 0.000, 1.022, 0.000, backprop.py:97(<lambda>)
4698, 0.866, 0.000, 1.015, 0.000, std.py:355(format_meter)
192249, 0.628, 0.000, 0.992, 0.000, compat.py:65(forward_compatible)
243830, 0.667, 0.000, 0.984, 0.000, api.py:283(autograph_artifact)
234450, 0.545, 0.000, 0.973, 0.000, composite_tensor_gradient.py:128(_replace_tensors_for_gradient)
4692, 0.326, 0.000, 0.973, 0.000, inspect.py:2246(_signature_from_callable)
135072, 0.918, 0.000, 0.948, 0.000, nn_ops.py:216(_get_sequence)
222408, 0.857, 0.000, 0.942, 0.000, tensor_conversion_registry.py:112(get)
